"Date","Subway","Subway7DayAverage"
2022-01-29,1000199,2235956.14285714
2022-01-30,1263710,2238348.85714286
2022-01-31,2580730,2243879.57142857
2022-02-01,2640076,2234337.42857143
2022-02-02,2945982,2267049.14285714
2022-02-03,2919948,2294148.85714286
2022-02-04,2730797,2297348.85714286
2022-02-05,1794615,2410836.85714286
2022-02-06,1325280,2419632.57142857
2022-02-07,2789941,2449519.85714286
2022-02-08,3022902,2504209.28571429
2022-02-09,3095072,2525507.85714286
2022-02-10,3118851,2553922.57142857
2022-02-11,3021042,2595386.14285714
2022-02-12,2028603,2628813
2022-02-13,1351186,2632513.85714286
2022-02-14,2913628,2650183.42857143
2022-02-15,3037189,2652224.42857143
2022-02-16,3106944,2653920.42857143
2022-02-17,3116422,2653573.42857143
2022-02-18,2971411,2646483.28571429
2022-02-19,1798615,2613627.85714286
2022-02-20,1481552,2632251.57142857
2022-02-21,1952841,2494996.28571429
2022-02-22,2685917,2444814.57142857
2022-02-23,2911807,2416937.85714286
2022-02-24,2874911,2382436.28571429
2022-02-25,2589902,2327935
2022-02-26,1830686,2332516.57142857
2022-02-27,1404428,2321498.85714286
2022-02-28,2928748,2460914.14285714
